YEAR,BUYING_DEALER,TOKEN_DONE,SUM_BID_AT_BOUGHT,AVG_BID_AT_BOUGHT,RECENT_BUY_DATE
2021,85554,7,2296331,328047.3,2021-10-28
2022,23575,62,16178297,260940.3,2022-12-19
2020,75812,7279,2262802375,310867.2,2020-12-31
2018,anchor01,19141,233186992,12182.6,2018-12-04
2024,94749,19,1689500,88921.1,2024-03-28
2022,75299,112,35559173,317492.6,2022-12-28
2020,64050,8,1856796,232099.5,2020-08-26
2020,60474,15,2572390,171492.7,2020-12-20
2020,76092,5,3370744,674148.8,2020-10-20
2022,57056,34,4247088,124914.4,2022-12-25
2020,57151,18,5036427,279801.5,2020-12-05
2023,98819,30,4748476,158282.5,2023-12-26
2023,73466,515,81951265,159128.7,2023-12-31
2023,117759,8,3372936,421617.0,2023-11-29
2023,11387,106,35215373,332220.5,2023-12-25
2020,61297,29,3382630,116642.4,2020-12-20
2018,53151,41,1186876,28948.2,2018-12-31
2021,70981,13,2084134,160318.0,2021-12-21
2023,100804,24,4089254,170385.6,2023-08-28
2024,76623,20,4189500,209475.0,2024-05-05
2023,101027,68,19479003,286455.9,2023-12-21
2020,70752,15,2736780,182452.0,2020-12-28
2019,58031,200,4573241,22866.2,2019-12-31
2023,119104,36,5695362,158204.5,2023-12-31
2022,109709,2,1692000,846000.0,2022-01-18
2019,59510,135,16237443,120277.4,2019-12-29
2021,57457,27,7232386,267866.1,2021-12-12
2017,55722,18,3344101,185783.4,2017-12-23
2021,66107,34,15312952,450380.9,2021-12-28
2021,80712,26,2657916,102227.5,2021-12-19
2023,57386,98,36635357,373830.2,2023-12-30
2022,90119,41,14969200,365102.4,2022-12-28
2020,70013,39,9935729,254762.3,2020-11-27
2022,112379,21,4202769,200131.9,2022-12-29
2022,113949,2,261500,130750.0,2022-12-17
2023,57900,107,24685521,230705.8,2023-12-27
2024,106699,33,7781400,235800.0,2024-05-08
2024,58349,10,4693800,469380.0,2024-05-13
2020,63818,15,2647489,176499.3,2020-12-30
2022,112474,8,1938735,242341.9,2022-12-28
2022,60810,251,37046081,147593.9,2022-12-21
2020,63556,51,13140941,257665.5,2020-12-01
2022,55710,36,30613338,850370.5,2022-12-21
2017,10759,210,32305947,153837.8,2017-12-30
2023,70284,51,8054453,157930.5,2023-12-29
2023,59785,45,7300126,162225.0,2023-12-23
2024,72910,3,1657500,552500.0,2024-04-20
2022,101553,61,2615644,42879.4,2022-12-21
2020,63690,6,2541174,423529.0,2020-12-17
2021,83584,66,13120028,198788.3,2021-12-30
2021,69128,50,12812459,256249.2,2021-12-31
2019,57549,93,18597917,199977.6,2019-12-31
2023,119365,13,3750663,288512.5,2023-11-29
2020,71439,31,9088395,293174.0,2020-12-23
2023,72927,120,7469418,62245.2,2023-12-29
2021,66612,25,5043155,201726.2,2021-12-29
2023,116007,68,9056639,133185.9,2023-12-16
2023,82853,20,2575858,128792.9,2023-12-31
2021,98893,3,389328,129776.0,2021-12-10
2021,87292,16,5484445,342777.8,2021-11-06
2018,23274,29,5633507,194258.9,2018-12-28
2021,64323,14,3708850,264917.9,2021-11-10
2022,73466,236,32376932,137190.4,2022-12-31
2023,99568,19,3282922,172785.4,2023-12-28
2021,89586,9,1371216,152357.3,2021-07-20
2024,119213,13,3159800,243061.5,2024-05-02
2023,76084,25,16490041,659601.6,2023-12-01
2020,64070,18,2480844,137824.7,2020-11-23
2020,52391,18,3303811,183545.1,2020-11-27
2023,68955,52,22260679,428090.0,2023-12-22
2021,88748,9,1811502,201278.0,2021-11-08
2018,55917,25,10314500,412580.0,2018-12-15
2021,81868,43,17624742,409877.7,2021-12-24
2023,57315,84,35340114,420715.6,2023-12-31
2023,63704,4,484272,121068.0,2023-06-18
2020,59104,43,7359171,171143.5,2020-12-27
2023,96111,29,6232251,214905.2,2023-11-05
2021,84759,15,2318191,154546.1,2021-10-31
2020,67804,71,17082987,240605.5,2020-12-31
2022,78299,24,5097767,212407.0,2022-10-13
2021,89409,3,196596,65532.0,2021-10-08
2023,59973,406,17982154,44291.0,2023-12-31
2024,64622,2,545800,272900.0,2024-01-25
2024,108171,1,186100,186100.0,2024-01-31
